Nr,Titel,Beschrieb,Ort,OrtLink,Jahr,Akteurinnen,Themenfelder,FinanzielleUnterstuetzung,Laufend,Link1,Link2
33,Deux im Schnee,"Die Erziehungsdirektionen der Kantone Genf und Bern gründeten zusammen mit Gstaad Saanenland Tourismus «Deux im Schnee». Es handelt sich um ein zweisprachiges Schneesportlager in der Destination Gstaad mit Jugendlichen aus der Oberstufe. Die Skiregion trägt so zur Förderung des Nachwuchses im Schneesport bei, die kulturelle Vielfalt wird unterstützt und die Jugendlichen können mit viel Spass ihre Sprachkenntnisse verbessern.",Gstaad,https://s.geo.admin.ch/87c58d9190,2016,"Tourismusorganisation, Öffentlicher Sektor","Freizeitaktivität, Kultur, Bildung", ,ja,https://www.gstaad.ch/deux-im-schnee.html, 
34,Käsereifungslager Innertkirchen,"In Innertkirchen entstand 2014 das Projekt, die Felskaverne zu einem Käsereifungslager umzubauen. Somit konnte eine schon bestehende, ungenutzte Infrastruktur umgebaut und wiederverwendet werden. Im Stollen soll auch ein Degustationsraum erschaffen werden. Der Mieter Tschümperlin lagert nicht nur seinen Käse, sondern hat auch die die Auflage, den Käse der Alpgenossenschaften zu lagern.",Innertkirchen,https://s.geo.admin.ch/87c5900b2a,2014,"Privatpersonen, Unternehmen, Öffentlicher Sektor","Landwirtschaft, Alpwirtschaft, Lokale Produkte", ,ja,https://www.gadmen-dolomiten.ch/blog/portfolio-item/kaesereifungslager-innertkirchen/, 
35,Gemeinschaftsgarten Aarefeld,"Der Gemeinschaftsgarten Aarefeld wurde 2012 unter der Trägerschaft der Vereine «Ärdele» und «Zukunft Wohnen» in der Region Thun gegründet, um gemeinsam einen Gartentreff zu organisieren. Es soll ein Ort der Begegnung entstehen, der auf verschiedene Arten genutzt werden kann. Auf der Fläche wird Gemüse und Früchte für den Vereinsgebrauch angepflanzt und an Dritte weitergegeben.",Thun,https://s.geo.admin.ch/87c59043a5,2012,Vereine,"Alternatives Produzieren & Konsumieren, Gemeindeentwicklung", ,ja,https://www.aerdele.ch/startseite.html, 
36,Belmont,"Im Jahr 2013 wurde die Genossenschaft Lebensraum Belmont von acht Mitgliedern gegründet. Mit der Perspektive, dass Menschen miteinander in Einklang leben möchten, entstand das Mehrgenerationenprojekt, bei welchem ein durchmischter Generationenmix in einem ehemaligen Hotel zusammenlebt. Dabei wird auf einen respektvollen Umgang untereinander geachtet und versucht, eine wohlwollende Gemeinschaft aufzubauen.",Wilderswil,https://s.geo.admin.ch/87c5907dc8,2013,Privatpersonen,"Ökologie, Wohnen", ,ja,https://lebensraumbelmont.ch/, 
37,Blago Bung,"2017 wurde der Verein Zwischennutzung Hotel Touriste gegründet damit gemeinsam für das ungenutzte Hotel Touriste eine Zwischenlösung gefunden werden kann. Das Hotel liegt im Zentrum von Interlaken an bester Lage. Der Verein hat unter dem neuen Namen Blago Bung die Räumlichkeiten neu errichtet. Der Ort ist nun ein Kulturtreffpunkt, Veranstaltungsort und ein Projekt für junge Menschen aus der Region. ",Interlaken,https://s.geo.admin.ch/87c590bf67,2017,Privatpersonen,"Alternatives Produzieren & Konsumieren, Gemeindeentwicklung, Kultur", ,ja,http://blago-bung.ch/about/, 
38,Solidarische Landwirtschaft Erlengut,"Die Solidarische Landwirtschaft im Erlengut wurde vom kleinen Betrieb Biogemüse Erlengut im Jahr 2017 gegründet. Das Ziel ist es, eine Nahrungsmittelproduktion aufzubauen, bei der sich die Produzent*innen und Konsument*innen gemeinsam organisieren. So kann geplant werden, wie viel Gemüse gebraucht wird und es werden Überschüsse vermieden. Auch muss das Gemüse nicht den Marktnormen entsprechen und lange Transportwege fallen weg. ",Steffisburg,https://s.geo.admin.ch/87c590fb24,2017,"Privatpersonen, Unternehmen","Alternatives Produzieren & Konsumieren, Landwirtschaft, Lokale Produkte, Ökologie",  ,ja,https://erlengutbio.wordpress.com/, 
39,SpiezSolar,"Die Genossenschaft SpiezSolar wurde 1999 mit einem Bau der ersten Photovoltaik-Anlage auf einem Schulgebäude in Spiez gegründet. Es folgten  weitere Projekte. SpiezSolar ist vor allem für die Beratung und Informationsvermittlung für Private und Gewerbe zuständig. Die Genossenschaft steht für eine umweltfreundliche Beschaffung, Verteilung und Förderung von erneuerbaren Energien ein. Mittlerweile gibt es in Spiez über 300 Solaranlagen, welche von SpiezSolar unterstützt wurden.",Spiez,https://s.geo.admin.ch/87c5913643,1999,Privatpersonen,"Ökologie, Energie",,ja,https://www.spiezsolar.ch/, 
40,Tierhof Louberli,"Pia und Niklaus Hirschi kamen im Jahr 2013 ins «Louberli» und gründeten auf dem Bergbauernhof ein Platz für Gnadentiere. Die Tiere dürfen fern von Massentierhaltung leben und müssen nicht mehr produzieren. Die Familie bietet auch Ferien auf dem Gnadenhof im Berghaus an. Seit 2015 haben sie auf dem Hof 15 Lockpfosten, auf welchen Informationen stehen und mit denen sie auf ihre landwirtschaftliche Arbeit aufmerksam machen.",Iseltwald,https://s.geo.admin.ch/87c5918911,2013,Privatpersonen,"Tourismus, Landwirtschaft, Beherbergung",  ,ja,https://www.tierhoflouberli.ch/, 
41,Hofkäserei Spitzhorn ,"David Perreten und Thomas Schläppi starteten 2014 gemeinsam die Hofkäserei Spitzhorn. Sie haben sich dafür entschieden, weil ihre Bio-Milch nicht in der Region verarbeitet wurde und das nicht in ihre Philosophie passte. Sie haben zum Ziel, die Wertschöpfung in der Region zu halten und eine direkte Vermarktung anzustreben. Die beiden Landwirte setzen auf extensive Milchwirtschaft und geschlossene Kreisläufe auf ihren Betrieben. ",Grund b. Gstaad,https://s.geo.admin.ch/87c591b625,2014,Unternehmen,"Landwirtschaft, Lokale Produkte, Ökologie", ,ja,https://www.spitzhornk.ch/, 
42,Mountain Drive No Limits,"Im Jahr 1996 hatte Andreas Jutzeler erste Ideen, einen geländegängigen Rollstuhl zu entwickeln, um auch Personen mit Mobilitätsbeeinträchtigungen Freizeitangebote in der Natur zu ermöglichen. 2016 konnte der Mountain Drive vorgestellt werden und seither sind vier solcher Rollstühle auf dem Stockhorn im Einsatz. Damit wird ermöglicht, dass der Hinterstockensee umfahren werden kann. Mittlerweile gibt es die Mountain Drive in verschiedenen Destinationen.",Erlenbach i.S. ,https://s.geo.admin.ch/87c591e294,1996,"Vereine, Unternehmen, Stiftungen","Tourismus, Freizeitaktivität, Inklusion", ,ja,http://www.multidrive.ch/HOME/GESCHICHTE/,https://stockhorn.ch/erleben/sommer/gelaendegaengiger-rollstuhl
43,Eigerness Der Laden,"An vielen Orten haben kleine Läden geschlossen und dadurch wurde auch das Angebot an regionalen Produkten immer geringer. Mit der Eröffnung des Eigerness-Ladens sollen diese Produkte aus der Region vermarktet werden. Dazu sind im Verein Eigerness 120 Produzent*innen Mitglied. Der Laden wird nach der «Eigerness Philosophie» geführt (persönlich / nachhaltig / verbindend) und deckt alle Sparten von «Eigerness» (Kulinarik, Design & Handwerk, Lebensart und Outdoor) ab.",Grindelwald,https://s.geo.admin.ch/87c58b4be8,2017,"Privatpersonen, Unternehmen","Landwirtschaft, Lokale Produkte",,ja,https://eigernessderladen.ch/, 
44,Digital Roadmap Berner Oberland,"Das Projekt «Digital Roadmap» wurde 2016 in Biel-Seeland lanciert und kam 2018 auch ins Berner Oberland. Es geht darum, dass Unternehmen im Berner Oberland bei der digitalen Transformation unterstützt werden. Bei der Digital Roadmap wird in einem gemeinsamen Prozess ein digitales Geschäftsmodell entwickelt. Dazu werden die Unternehmen von der Standortbestimmung und der Ideenerarbeitung über die Konkretisierung bis hin zur Realisierung unterstützt. ",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2017,"Vereine, Öffentlicher Sektor, Verbände","Digitalisierung, Industrie",NRP,ja,http://www.digitalroadmap.ch/beo/, 
45,SimmeSaaneSee,«SimmeSaaneSee» wurde in vier Regionen im Berner Oberland 1997 gestartet. Es handelte sich um ein 300 Kilometer langes Radwegnetz durch diese Regionen. Dabei wurde der umweltbewusste Tourismus gestärkt und es sollte in den Regionen wirtschaftliche Impulse auslösen. Dazu wurden die regionalen Produkte und Dienstleistungen miteingebracht und vernetzt. Mit der Zusammenarbeit zwischen den verschiedenen Branchen sollten neue Gäste gewonnen werden.,Berner Oberland,https://s.geo.admin.ch/87c58c40a0,1997,"Tourismusorganisation, Unternehmen, Öffentlicher Sektor","Tourismus, Mobilität, Freizeitaktivität",Regio Plus,nein,https://regiosuisse.ch/projects/ext/1319/simmesaanesee, 
46,spediBEO,Die Vereinigung spediBEO wurde 2002 gegründet und ist eine Plattform für die Erarbeitung von Logistikprojekten. Es geht darum aktuelle Probleme branchenübergreifend zu diskutieren und so die regionalen Bedürfnisse abzustimmen. Das Projekt soll selbsttragend sein und die Randgebiete im Berner Oberland mit Güter versorgen. Durch die bessere Koordination unter den verschiedenen Akteur*innen können Leerfahrten reduziert werden. ,Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2002,"Vereine, Öffentlicher Sektor, Verbände","Mobilität, Industrie",Regio Plus,nein,, 
47,Tropenhaus Frutigen,"Die Firma Tropenhaus Frutigen AG wurde 2003 gegründet und 2009 konnte das Tropenhaus Frutigen eröffnet werden. Es hat im Alpenraum eine führende Rolle in der Nutzung von erneuerbaren Energien. Dazu wird das Warmwasser aus dem Lötschberg-Basistunnel genutzt. Es ist eine einzigartige Kombination aus exotischer Pflanzenwelt, Aquakultur und Wissensvermittlung in einer alpinen Umgebung. Dabei wird möglichst auf geschlossene und ressourcensparende Kreisläufe geachtet. ",Frutigen,https://s.geo.admin.ch/87c58ee538,2003,"Privatpersonen, Unternehmen","Tourismus, Freizeitaktivität, Lokale Produkte, Gastronomie, Ökologie",Regio Plus,ja,https://www.tropenhaus-frutigen.ch/, 
48,Zukunft Hasliberg ,"Das Projekt «Zukunft Hasliberg» wurde 2015 gestartet und Grund dafür waren die Auswirkungen der Zweitwohnungsinitiative auf die Bauwirtschaft der Gemeinde. Im Projekt sollte die Bevölkerung und die Betroffenen miteinander die Zukunft von Hasliberg mitbestimmen können und so auf den Stärken und Potenzialen aufbauen. Das Hauptziel war die Aktivitätssteigerung der Gemeinde als Wohn- und Tourismusort und dazu sollte ein authentisches Dorfbild entstehen, welches zur Begegnungszone wird. ",Hasliberg,https://s.geo.admin.ch/87c5926206,2015,"Bildungs- und Forschungsinstitutionen, Öffentlicher Sektor","Tourismus, Landwirtschaft, Gemeindeentwicklung, Beherbergung, Gastronomie, Wohnen, Mobilität, Alpwirtschaft, Bau- & Holzwirtschaft",NRP,nein,https://www.hasliberg.ch/wirtschaft/zukunft-hasliberg/, 
49,Wärmeverbund Wimmis,"Im Jahr 2006 hat die Axpo AG zusammen mit der Burgergemeinde Wimmis den Wärmeverbund Wimmis gegründet. Da die finanziellen Mittel von der Axpo AG kamen, war es für die Burgergemeinde eine Herausforderung mitzubestimmen. So bemühten sich Burger- und Einwohnergemeinde ab 2011 für eine Übernahme, welche 2016 vollbracht wurde. Seit der Übernahme konnten bereits 20 neue Verträge abgeschlossen und die Anlage optimiert werden.",Wimmis,https://s.geo.admin.ch/87c5928f7f,2006,"Öffentlicher Sektor, Burgergemeinde","Ökologie, Energie", ,ja,http://www.wimmis.ch/xml_1/internet/de/application/d193/d490/f491.cfm, 
50,Asylprojekt KAFOL,"Im Jahr 2017 startete das Projekt KAFOL, was Koordination des Asyl- und Flüchtlingswesens im Berner Oberland bedeutet. Das Ziel dabei ist eine berufliche Integration von Asylsuchenden, vorläufig Aufgenommenen und Flüchtlingen zu ermöglichen und zu verbessern. Mit möglichst frühen Erfahrungen in der Arbeitswelt wird ermöglicht, eine Anstellung zu finden und nicht mehr von der Sozialhilfe zu leben. Dazu gibt es eine Zusammenarbeit unter den Organisationen, welche im Asyl- und Flüchtlingsbereich tätig sind. ",Frutigen,https://s.geo.admin.ch/87c58ee538,2017,Öffentlicher Sektor,"Gemeindentwicklung, Industrie, Inklusion", ,ja,http://kafol.ch/, 
51,AlpenLernen,"Das Projekt AlpenLernen wurde 2014 ins Leben gerufen, um Schulklassen die Möglichkeit zu geben, die Hochgebirgslandschaft des UNESCO-Welterbes Jungfrau-Aletsch, zu erleben und dabei das Prinzip der nachhaltigen Entwicklung des Alpenraums besser verstehen zu können. SAC und UNESCO haben gemeinsam dieses Projekt gestartet und dabei können die Klassen während fünf Tagen eine Projektwoche in den Alpen erleben. Weiter soll das Interesse an sportlichen Aktivitäten im alpinen Geländen geweckt werden. Die Projektwoche Alpenlernen wird nun erstmals auch in anderen Gebieten der Schweiz durchgeführt. ",Jungfrau Region,https://s.geo.admin.ch/87c592f5cf,2014,"Bildungs- und Forschungsinstitutionen, Vereine","Ökologie, Bildung", ,ja,https://www.jungfraualetsch.ch/de/unterrichtsmaterialien/ ,https://www.sac-cas.ch/de/jugend/schulen-und-partner/alpenlernen/
52,Private Partner Golf (PPG),"Ende 2018 haben sich fünf Golfclubs entschieden die Partnerschaft ""Private Partner Golf (PPG)"" einzugehen und 2019 stiess ein sechster Club dazu. Die Clubs haben erkannt, dass es nicht mehr den Vorstellungen der Golfspieler*innen entspricht immer an einem Ort zu spielen. Somit können die Golfer*innen nur in einem Golfclub Mitglieder*in sein und dürfen gegen eine minimale Erhöhung der Jahresbeiträge auf allen sechs Plätzen spielen.",Unterseen,https://s.geo.admin.ch/87c5934a7d,2018,Unternehmen,Freizeitaktivität, ,ja,https://swigo.ch/ppg-private-partner-golf-gemeinsam-staerker/, 
53,Stiftung Rettungsdienst Frutigland,"Die Stiftung Retungsdienst Frutigland wurde im Jahr 2000 gegründet, als vorgeschlagen wurde die 16 Rettungsdienste im Kanton Bern auf vier zu reduzieren. Die Befürchtung war, dass durch die grossen Distanzen der neuen Stützpunkte sich die Notfallversorgung verschlechtert. Dieser Vorschlag konnte abgewendet werden und das Spital Frutigen hat einen Rettungsdienst aufgebaut. Das Ziel der Stiftung ist die Aus- und Weiterbildung von Rettungssanitäter*innen und anderem Personal zu fördern und somit einene Rettungsdienst im Fruttigland aufrecht zu erhalten. ",Frutigen,https://s.geo.admin.ch/87c58ee538,2000,Privatpersonen,"Öffentliche Dienstleistung, Gesundheit", ,ja,https://www.spitalfmi.ch/ueber-uns/stiftung-rettungsdienst-frutigland/, 
54,HolzNetzWerk Brünig,"Das HolzNetzWerk Brünig wurde 2016 gestartet als Ergebnis aus «Zukunft Hasliberg». Dabei wurde eine Lösung gesucht, um regionale Betriebe aus der Holzwirtschaft miteinander zu vernetzen. Ein Symposium half mit,  Synergien festzustellen und die lokalen Bedürfnisse abzuklären. Dieses Symposium sollte immer wieder im Brünig stattfinden, da es eine Grundlage der Vernetzung der lokalen Akteure ist. Aus dem HolzNetzWerk Brünig entstand das Forum Holz & Wirtschaft Schweiz.",Hasliberg,https://s.geo.admin.ch/87c5926206,2016,Bildungs- und Forschungsinstitutionen,Bau- und Holzwirtschaft,NRP,nein,https://forumholzwirtschaft.ch/, 
55,Generationenwohnen Hasliberg,"Während zwei Jahren arbeitete die Hochschule Luzern gemeinsam im Projekt ""Zukunft Hasliberg"" mit. Daraus entstand die Idee «Generationenwohnen Hasliberg», bei welchem die HSL ab 2016 ebenfalls mithalf. Das Projekt hat zum Ziel, dass bedürfnisgerechte Wohn- und Lebensformen für ältere Menschen im Hasliberg geschaffen werden. Dazu braucht es eine geeignete Wohnform an zentraler Lage. Eine mehrheitlich aus der älteren Bevölkerung aus dem Hasliberg zusammengesetzte Arbeitsgruppe hat in dieser Zeit in Freiwilligenarbeit die Grundlagen für ein künftiges Generationenhaus gelegt.",Hasliberg,https://s.geo.admin.ch/87c5926206,2016,"Privatpersonen, Bildungs- und Forschungsinstitutionen","Gesundheit, Gemeindeentwicklung, Wohnen", ,ja,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=3527, 
56,BEO HOLZ,"Schon im Jahr 1968 wurde die Arbeitsgemenschaft BEO HOLZ gegründet. Es ist ein Zusammenschluss von Waldbesitzerverbände, Sägemeister, Zimmermeister, Schreinermeister und Holzenergie, welche BEO HOLZ gemeinsam betreibt und fördert. Das gemeinsame Ziel dabei ist die Holzförderung im Berner Oberland. Sie setzen sich ein für die Holzverwendung als Energieträger und Baustoff im BeO. Weiter wird das Interesse am Wertschöpfungsstoff Holz gefördert und in der Politik vertreten. ",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,1968,Verbände,Bau- und Holzwirtschaft, ,ja,http://www.beoholz.ch/, 
57,Qualifizierungsplattform Regionen Berner Oberland und Oberwallis,"Die Volkswirtschaft Berner Oberland ist Trägerin des Projekts «Qualifizierungsplattform Regionen Oberwallis und Berner Oberland», welches 2015 bewilligt wurde. Gemeinsam mit der Region Oberwallis wird das Projekt umgesetzt. Es hat zum Ziel, dass die Qualifizierung der Arbeitnehmenden erhöht wird und die Anpassungsfähigkeit der Arbeitgebenden in den Regionen zu stärken. Deshalb wurde eine Qualifizierungsplattform errichtet mit den drei Handlungsfeldern: Weiterbildung, Netzwerke und Innovations- und Technologietransfer. ",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2015,Vereine,"Fachkräfte, Industrie, Bildung",NRP,ja,https://regiosuisse.ch/projects/ext/65800000/qualifizierungsplattform-oberwallis-und-berner-oberland-phase-2-3,https://www.volkswirtschaftbeo.ch/images/content/content/aktuell/TextWebsiteVWBeOQualifizierungsplattform.pdf
58,Geburtshaus Maternité Alpine,"Im Jahr 2015 wurde die Geburtshilfe im Spital Zweisimmen geschlossen und die geburtshilfliche Grundversorgung im Gebiet Saaneland war nicht zufriedenstellend. Deshalb wurde 2015 durch 49 Interessierte eine Genossenschaft gegründet, um eine wohnortnahe geburtshilfliche Grundversorgung zu erhalten. Im Jahr 2017 konnte schliesslich das Geburtshaus Maternité Alpine in Zweisimmen in Betrieb genommen werden. Mittlerweile umfasst die Genossenschaft über 340 Mitglieder*innen. Die Zusammenarbeit zwischen niedergelassenen Ärzt*innen, Hebammen, Spitex-Diensten, etc. wird gestärkt und gepflegt. ",Zweisimmen,https://s.geo.admin.ch/87c593bfe7,2015,Privatpersonen,"Öffentliche Dienstleistung, Gesundheit", ,ja,https://maternitealpine.ch/de/, 
59,Solarschiff Thun,Im Jahr 2011 stach das Solarschiff Cassiopeia zum ersten Mal auf den Thunersee. Die Familie Charrois ist Besitzerin des Schiffs und hat die meiste Arbeit selbst gemacht. Das Schiff wurde für den öffentlichen Personentransport von 12 Personen entwickelt und dabei wird mit einem Solardach Strom hergestellt für den Elektromotor. Mit dieser Idee möchte die Familie auf das Potential von Solarenergie aufmerksam machen und eine nachhaltige Freizeitmobilität aufzeigen. Seit dem Jahr 2014 werden verschiedenste Bildungsfahrten in Zusammenarbeit mit Aqua Viva durchgeführt.,Thun,https://s.geo.admin.ch/87c59043a5,2011,Privatpersonen,"Tourismus, Freizeitaktivität, Mobilität, Ökologie, Energie", ,ja,https://www.solarschiffthun.ch/, 
60,Hotel Barrierefreiheit ,"2016 wurde das Projekt Hotel-Barrierefreiheit durch die Claire & George Stiftung zusammen mit hotelleriesussie gestartet. Weitere Tourismus- und Behindertenorganisationen arbeiteten beim Projekt mit. Es ist eine Hotel-Plattform mit den Informationen zu Barrierefreiheit der Unterkünfte. Nach der Testphase war angedacht, dass die Informationen in der Datenbank von hotelleriesuisse hinterlegt werden. Während der Projektphase wurden die Hotels vor Ort von einem Team bezüglich Barrierefreiheit geprüft. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2016,"Stiftungen, Verbände","Tourismus, Beherbergung, Inklusion",Innotour,nein,https://www.hotel-accessibility.ch/, 
61,Kurse «mobil sein & bleiben»,"Das private Büro rundum mobil GmbH setzt sich für eine effiziente und soziale Mobilität ein. Im Jahr 2000 wurden unter dem Namen «mobil sein & mobil bleiben» diverse Kursangebote für Senior*innen lanciert. Es geht dabei um Fragen wie: Wie kann ich ein Billett am Automaten kaufen, wie bin ich sicher im öV unterwegs, etc. In der Region Thun wurde das Pilotprojekt gestartet und dabei mit unterschiedlichen Akteur*innnen wie beispielsweise SBB, Postauto und Kantonspolizei Bern zusammengearbeitet. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2000,"Unternehmen, Stiftungen, öffentlicher Sektor","Mobilität, Inklusion, Bildung",Interreg,ja,https://mobilsein-mobilbleiben.ch/web/, 
62,Wärmeverbund mit Seewasserthermie,"Das Strandhotel Seeblick Faulensee will zusammen mit der Genossenschaft SpiezSolar das Wärmepotenzial von Seen und Flüssen nutzen. Es soll in einem Pilotprojekt mehrere Liegenschaften in einem Wärmeverbund mit Seewasser beheizt werden. Diese Methode der Seethermie wird schon an vielen anderen Standorten der Schweiz genutzt. Dazu wird Wasser, auch in kalten Jahreszeiten, aus dem See gepumpt,  die Wärme entzogen und etwas kühler wieder in den See eingeleitet.",Faulensee,https://s.geo.admin.ch/87c59425f1,2019,Unternehmen,"Ökologie, Energie", ,ja,https://www.bernerzeitung.ch/region/oberland/nutzung-der-seewaerme-steckt-im-oberland-in-kinderschuhen/story/22161704,
63,Integriertes Gesundheitsnetzwerk Simmental-Saanenland ,"Im Jahr 2018 wurde das Projekt «Integriertes Gesundheitsnetzwerk Simmental-Saanenland» vorgestellt. Es soll dazu dienen, dass langfristig die Grund- und Spitalversorgung der Region Simmental-Saanenland gesichert ist. Dazu sind ein Gesundheitscampus Zweisimmen und ein Gesundheitszentrum in Saanen angedacht. Die Gesundheitsversorgung der Region soll durch ein integriertes Gesundheitsnetzwerk mit einem Gesundheitscampus in Zweisimmen und einem integrierten Gesundheitszentrum in Saanen sichergestellt werden. Das heisst es gibt eine starke Vernetzung zwischen den Versorgungspartner.",Simmental-Saanenland,https://s.geo.admin.ch/87c5949ec8,2018,"Unternehmen, Öffentlicher Sektor","Öffentliche Dienstleistung, Gesundheit", ,ja,https://megss.ch/, 
64,Schule Guttannen,"Damit der Kanton die Primalschule Guttannen mitfinanziert, fehlten der Schule die Schüler*innen. Deshalb wurde 2015 eine Arbeitsgruppe ins Leben gerufen, die sich mit der Zukunft der Schule befasste. 2017 wurde im Dorf per Abstimmung der Neuorganisation der Primarstufe zugestimmt. Als Lösung übernam die Berner Privatschule NMS die Primarschule Guttannen künftig als Aussenstandort. ",Guttannen,https://s.geo.admin.ch/87c594d397,2015,"Unternehmen, Öffentlicher Sektor","Öffentliche Dienstleistung, Bildung", ,ja,http://www.schuleguttannen.ch/, 
65,Youth Alpine Interrail,"Die Internationale Alpenschutzkommission CIPRA hat den «Youth Alpine Interrail» im Jahr 2019 gestartet. Dabei durften acht Alpenländer für 50 Euro klimafreundlich mit dem Zug erkundet werden. Dazu konnten sich Jugendliche zwischen 16-27 Jahren für den Pass bewerben und anschliessend ihr Abenteuer über Social Media teilen. Am Schluss wurden die besten Fotos und Geschichten ausgezeichnet. Die Idee hatte zum Ziel, den Leuten die Alpen zu zeigen und ein bewussteres Reisen in die Alpen auszulösen.",Europaweit,http://webgis.alpconv.org/,2019,"Vereine, Unternehmen","Tourismus, Mobilität, Ökologie", ,nein,http://yoalin.org/, 
66,Burelädeli Diemtigtal,"Während der Tourismuskonferenz im Jahr 2001 entstand eine Arbeitsgruppe von Landwirt*innen. Ihr Ziel war es, die einheimischen Produkte zu vermarkten. Im gleichen Jahr entstand die Idee eines Burelädeli, in welchem Produkte von einheimischen Bauernfamilien und Künstler*innen verkauft werden. Zudem wurde ein Online-Burelädeli entwickelt, in dem ein Geschenkkorb ausgewählt werden kann. ",Zwischenflüh,https://s.geo.admin.ch/87c594fb3f,2001,Unternehmen,"Landwirtschaft, Lokale Produkte", ,ja,http://burelaedeli-diemtigtal.ch/, 
67,Selbstbaugruppe Energiewendegenossenschaft,"Die Selbstbaugruppe Engergiebaugenossenschaft zeichnet sich durch ihr Finanzierungsmodell aus. Kunden*innen die eine Solaranlage erwerben, helfen bei der Instalation mit. Zudem leisten sie Arbeitstunden beim Bau von weiteren Solaranlagen. Dadurch können die Anlagen günstiger gebaut werden.",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2019,Privatpersonen,"Alternatives Produzieren & Konsumieren, Industrie, Ökologie, Energie, Bildung", ,ja,https://www.e-wende.ch/index.php,
68,Hausarztnotfall Region Thun (HAN-rt),"Im Jahr 2010 wurde von den Ärzt*innen aus der Region der Verein HAN-RT gegründet. Die Hausärzt*innen betreiben auf dem Gelände des Spitals Thun eine Notfallpraxis am Wochenende von 8.00 bis 22.00 Uhr und an Wochentagen am Abend zwischen 17.00 und 22.00 Uhr. An jedem Tag gibt es ein*e Hausarzt/-ärztin, welche*r in der gemeinsamen Notfallpraxis den Dienst übernimmt. Ziel ist die Hausärzt*innen zu entlasten und die Notfallarbeit zu optimieren.",Thun,https://s.geo.admin.ch/87c59043a5,2010,Unternehmen,"Öffentliche Dienstleistung, Gesundheit", ,ja,https://www.notfallthun.ch/, 